ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
21,8:00am,1 Leopard hunting,"H3, near Kwaggaspan on H3. Was in tree, jumped off. Near Skukuza",4/5,Dorette,"Dec 15, 2023 · 6:48 AM UTC",3h
ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
7,10:00am,Pride of Lion on the move,"H3, 1.5km S of the S110 sand road Near Malelane",4/5,Sunflower,"Dec 15, 2023 · 8:28 AM UTC",1h
8,9:57am,4 Elephant drinking and Hippopotamus,"S3, road at Mestel dam Near Numbi",5/5,LvVuuren,"Dec 15, 2023 · 8:18 AM UTC",2h
10,9:32am,4 Elephant drinking,"S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC",2h
13,9:29am,Dazzle of Burchell's Zebra ,"H3, 2.2km N of Renosterpan Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 8:12 AM UTC",2h
14,8:50am,Vurhani pride of Lion on the move,"H4-2, 400m N of S25 on W side Near Crocodile Bridge",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 8:12 AM UTC",2h
15,8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC",3h
16,8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC",3h
17,8:52am,Herd of Elephant eating,"H3, 100m south of Mlambane river on both sides Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC",3h
19,8:36am,5 Lion sleeping,"S22, 900m W of S114 Near Skukuza",2/5,MorneSoekoe,"Dec 15, 2023 · 7:03 AM UTC",3h
20,8:49am,3 Spotted Hyena stationary,"H1-1, 800m N of S114 Near Skukuza",5/5,albert vds,"Dec 15, 2023 · 7:03 AM UTC",3h
