Time,Animal Type and Number,Location,Rating,Tinged By,Title
9:25am,1 Elephant stationary,"""In musth"" H5, about 6km W of S102 towards S114 Near Lower Sabie",5/5,Motalas,"Dec 14, 2023 · 7:30 AM UTC"
9:10am,1 Elephant stationary,"S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 7:59 AM UTC"
3:17pm,6 Elephant on the  move,"""Heading west."" S22, close to S114 Near Skukuza",5/5,Liske,"Dec 11, 2023 · 1:40 PM UTC"
6:18am,1 Elephant feeding,"H1-1, 750m W of S20 Near Pretoriuskop",4/5,Annicaaa,"Dec 11, 2023 · 11:37 AM UTC"
6:27am,1 Elephant stationary,"H1-1, 1.2km E of S11 E entrance Near Pretoriuskop",3/5,Annicaaa,"Dec 11, 2023 · 11:37 AM UTC"
11:29am,1 Elephant eating,"S10, 900m E of S7 N junction Near Pretoriuskop",5/5,CathBauwens,"Dec 10, 2023 · 10:19 AM UTC"
11:20am,1 Elephant on the move,"S7, 2km N of H1-1 Near Pretoriuskop",5/5,CathBauwens,"Dec 10, 2023 · 10:19 AM UTC"
6:04am,5 Elephant ,"S65, 450m S of S1 Near Skukuza",4/5,lemonadeshock,"Dec 10, 2023 · 4:27 AM UTC"
3:12pm,3 Elephants eating,"""One word, gigantic"" S28, 2.6km S of S107 Near Lower Sabie",4/5,Ray78,"Dec 9, 2023 · 2:23 PM UTC"
11:32am,Herd of Elephant stationary,"""Taking a mud bath"" S130, 1.1km S of H4-2 N junction Near Lower Sabie",5/5,Andre and Corlia,"Dec 9, 2023 · 10:35 AM UTC"
7:29am,1 Elephant on the move,"S128, 8.8km W of H10 S junction Near Lower Sabie",5/5,NatgeoJames,"Dec 9, 2023 · 10:11 AM UTC"
8:00am,Huge herd of Elephant ,"H4-1, next to the road just before Lubyelubye Near Lower Sabie",5/5,Renata - Kedibone Safaris,"Dec 9, 2023 · 7:25 AM UTC"
11:45am,Herd of Elephant swimming,"H1-3, at Kumana dam Near Tshokwane",5/5,Renata - Kedibone Safaris,"Dec 8, 2023 · 3:16 PM UTC"
7:30am,Huge herd of Buffalo and Elephants,"H9, at Nhlanganini dam Near Letaba",5/5,Renata - Kedibone Safaris,"Dec 8, 2023 · 3:16 PM UTC"
2:57pm,4 Elephant stationary,"H4-2, just N of Crocodile River Bridge Near Crocodile Bridge Gate",5/5,NatgeoJames,"Dec 8, 2023 · 1:25 PM UTC"
11:30am,Photo of the Elephant crossing river,"H1-2, Sabie River low water bridge Near Skukuza",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 9:51 AM UTC"
11:30am,2 Elephant crossing river,"H1-2, Sabie River low water bridge Near Skukuza",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 9:49 AM UTC"
8:54am,20 Elephant ,"S102, Mpondo waterhole Near Lower Sabie",5/5,Salomi Van Stryp,"Dec 8, 2023 · 7:16 AM UTC"
6:51am,4 Elephant on the move,"S102, Mpondo dam Near Lower Sabie",5/5,Andre and Corlia,"Dec 8, 2023 · 4:57 AM UTC"
6:10am,1 Elephant stationary,"H4-2, 350m S of S130 S Near Crocodile Bridge",5/5,Timtam,"Dec 8, 2023 · 4:31 AM UTC"
9:16am,10 Elephant on the move,"H10, 6.3km N of H4-2 Near Lower Sabie",4/5,joshdownes,"Dec 7, 2023 · 1:47 PM UTC"
8:44am,1 Elephant ,"S27, 600m S of S25 Near Crocodile Bridge",5/5,Stephnie Prinsloo,"Dec 7, 2023 · 7:08 AM UTC"
5:39am,1 Elephant stationary,"S82, 8.8km N of H4-2 S junction Near Lower Sabie",5/5,joshdownes,"Dec 7, 2023 · 5:03 AM UTC"
5:13pm,4 Elephants stationary,"""There are elephants closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,neyyneyyneyy0852,"Dec 6, 2023 · 3:54 PM UTC"
5:15pm,4 Elephants drinking,"""There is a baby. Buffaloes stationary closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,Leanè,"Dec 6, 2023 · 3:22 PM UTC"
1:45pm,Herd of Elephant on the move,"""There were about 3 herds. It was beautiful to watch."" Mlondolozi Picnic Spot access road,  Near Lower Sabie",5/5,Ray,"Dec 6, 2023 · 2:24 PM UTC"
10:36am,Herd of Elephant stationary,"""Cooling."" H1-3, at the Kumana Dam Near Tshokwane",5/5,Edson - Osprey Tours,"Dec 5, 2023 · 9:11 AM UTC"
3:11pm,20 plus Elephant on the move,"""Crossing the river with babies."" H4-1, 5.8km E of H12 Near Skukuza",5/5,TY1,"Dec 4, 2023 · 3:31 PM UTC"
8:04am,7 Elephant stationary,"Buckler's Lodge, seen across the river Near Crocodile Bridge",3/5,JRuediger,"Dec 4, 2023 · 6:31 AM UTC"
10:00am,Herd of Elephant stationary,"""Sleeping elephants"" S25, 2km E of the S26 Near Crocodile Bridge",5/5,JTS,"Dec 3, 2023 · 10:55 AM UTC"
8:49am,10 Elephant stationary,"""Herd of elephants in a circle with their backs to a baby that seems like it is sick or has passed away. They are tapping the baby to see if it will get up"" S25, before the S26 junction Near Crocodile Bridge",3/5,HesterM1076,"Dec 3, 2023 · 9:27 AM UTC"
1:55pm,2 Elephant swimming,"S119, at Gardenia hide waterhole Near Malelane",5/5,Gulfstream,"Dec 2, 2023 · 1:21 PM UTC"
11:25am,Herd of Elephant playing,"H1-3, at Kumana dam, in the water Near Tshokwane",5/5,Keaton and Anthony's,"Dec 2, 2023 · 12:08 PM UTC"
9:16am,4 Elephant stationary,"S25, 6km E of S26 Near Crocodile Bridge",4/5,Janrap,"Dec 2, 2023 · 8:23 AM UTC"
4:37pm,1 Elephant eating,"S1, 1.2km W of S4 Near Skukuza",5/5,Jacobs Family,"Nov 30, 2023 · 4:02 PM UTC"
3:32pm,1 Elephant eating,"H4-2, 2.1km S of S130 S junction Near Crocodile Bridge",5/5,AntonioPaiz,"Nov 30, 2023 · 1:41 PM UTC"
11:50am,50 plus Elephant drinking,"H1-2, at the Mantimahle dam Near Skukuza",5/5,Ossendryver_Family,"Nov 29, 2023 · 2:33 PM UTC"
10:42am,Herd of Elephant stationary,"""A big elephant roadblock. Lots of elephants on the left and right-hand side."" H4-1, 4.1km N of S79, N entrance Near Lower Sabie",5/5,Rose,"Nov 29, 2023 · 12:48 PM UTC"
7:34am,20 plus Elephant feeding,"H4-1, 5.7km E of H12 Near Skukuza",5/5,Mednor,"Nov 29, 2023 · 11:00 AM UTC"
10:10am,50 plus Elephant feeding,"""They were also playing in the water."" H1-3, 700m S of S125 Near Satara",5/5,WildlifeM,"Nov 28, 2023 · 11:03 AM UTC"
8:32am,2 Elephant feeding,"""Chilling in the shade while feeding on leaves."" H1-2, 150m S of Leeupan Near Skukuza",5/5,WildlifeM,"Nov 28, 2023 · 9:17 AM UTC"
9:15am,Herd of Elephant sleeping,"""Having a mid-morning nap."" S83, 3km from H1-2, S entrance Near Skukuza",5/5,Frannie - Thula Seats Transfers and Tours,"Nov 28, 2023 · 7:55 AM UTC"
8:17am,20 plus Elephant on the move,"S113, just near S23 Near Skukuza",5/5,Evv,"Nov 28, 2023 · 6:39 AM UTC"
