Time,Animal Type and Number,Location,Rating,Tinged By,Title
8:50am,Pack of Wild Dog stationary,"S110 tar, 200m W of H3, lying in shade close to the road Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 14, 2023 · 7:53 AM UTC"
6:30am,7 Lion on a kill,"""Including Casper"" H1-3, 3km S of H6 on the E side next to road with a Zebra kill Near Satara",5/5,Donald - Kruger Park Safaris,"Dec 14, 2023 · 4:48 AM UTC"
5:56am,1 Spotted Hyena on the move,"H4-2, just N os S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 14, 2023 · 4:20 AM UTC"
5:40am,Pride of Lion stationary,"H4-2, 300m N of S28 S Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Dec 14, 2023 · 4:13 AM UTC"
3:40pm,1 Leopard stationary,"""Update: Now on the termite mound beneath the tree on the south side. Visibility is 3/5 in one spot."" H4-1, 1.4km W of Nkuhlu Picnic Spot Near Skukuza",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 2:58 PM UTC"
12:15pm,Pride of Lion stationary,"""Under a bush on the northern side."" Duke waterhole access road, 300m from S137 Near Lower Sabie",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 11:47 AM UTC"
7:30am,1 Cheetah stationary,"""Lying 20m off the road on the northen side."" H7, 300m E of S39/36 junction Near Satara",4/5,Donald - Khalanga Safaris,"Dec 13, 2023 · 10:44 AM UTC"
10:30am,Pride of Lion stationary,"""Update: They are still here, on the northern side of the road. Visibility varies from 2/5 to 4/5."" H5, 4.2km S of S108 Near Crocodile Bridge",4/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 10:25 AM UTC"
11:55am,2 Impalas feeding,"""Baby having a midday snack."" S3, 5km N of S1 Near Phabeni",5/5,Frannie - Tambotie Transfers and Tours,"Dec 12, 2023 · 11:37 AM UTC"
11:20am,1 African Fish Eagle in a tree,"S3, 3km from H11 Near Paul Kruger Gate",5/5,Frannie - Tambotie Transfers and Tours,"Dec 12, 2023 · 11:37 AM UTC"
12:25pm,1 Crocodile feeding,"""It has a catfish in its mouth."" H10, at the Sabie Bridge Near Lower Sabie",5/5,KopiteonSafari,"Dec 12, 2023 · 10:37 AM UTC"
10:58am,2 Black backed Jackal on the move,"S28, 3.4km from H4-2 S entrance Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 9:01 AM UTC"
7:10am,2 Dung Beetle on the move,"""Laboring with their kills."" S25, at the Lukimbi Lodge turnoff Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC"
7:00am,4 Southern Ground Hornbill on the move,"""Feeding on the ground and against a dead tree stump."" S25, 400m E of S119 Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC"
6:50am,1 Snail on the move,"""A big snail."" S25, 300m W of S119 Near Malelane",5/5,Frannie - Tambotie Tranfers and Tours,"Dec 12, 2023 · 8:42 AM UTC"
10:15am,1 Buffalo stationary,"""A very lonely and stressed baby."" S28, 1.5km S of S107 Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC"
9:58am,2 Lion stationary,"""Lionesses."" S137, 200m E of Duke waterhole access road Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC"
9:55am,1 Lion stationary,"""A young male lying flat."" S137, 4.6km from S130 Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC"
7:50am,Herd of Buffalo stationary,"""A couple of dagga boys."" H4-2, 3.7km N of H5 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 6:44 AM UTC"
8:20am,3 Cheetah on the move,"""Mom and 2 cubs heading south on the west side."" S82, 8km from H4-2, S entrance Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 6:44 AM UTC"
7:00am,6 Lion stationary,"""A male and 5 females."" S108, 100m from H5 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 6:44 AM UTC"
3:35pm,1 Wildebeest feeding,"S25, 3.5km E of S119 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 2:40 PM UTC"
3:35pm,4 Wild Dog stationary,"S25, 3.5km E of S119 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 2:40 PM UTC"
3:33pm,2 Marabou Stork feeding,"S25, 900m from H4-2 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 11, 2023 · 1:49 PM UTC"
1:55pm,4 Wild Dog stationary,"S25, 3.5km E of S119 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 12:04 PM UTC"
