ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,10:26am,4 Lions sleeping,"S114, 300m N of H5 Near Skukuza",4/5,IvyB,"Dec 20, 2023 · 12:20 PM UTC",29m
5,12:40pm,1 Goliath heron stationary,"H4-1, 1.8km N of Lubyelubye Bridge Near Lower Sabie",5/5,Neels,"Dec 20, 2023 · 11:39 AM UTC",1h
6,10:40am,1 Bateleur in a tree,"S21, 6km from S114 Near Skukuza",5/5,Neels,"Dec 20, 2023 · 11:39 AM UTC",1h
7,7:30am,Pack of Wild Dog on the move,"S25, 17km E of S119 Near Crocodile Bridge",5/5,Michael,"Dec 20, 2023 · 11:31 AM UTC",1h
8,6:00am,Pack of Wild Dog on the move,"S25, 2km E of S119 Near Malelane",5/5,Michael,"Dec 20, 2023 · 11:31 AM UTC",1h
9,9:30am,Pride of Lion stationary,"S114, 2km N of H5 Near Skukuza",4/5,Neels,"Dec 20, 2023 · 11:23 AM UTC",1h
16,8:11am,1 Tawny Eagle in a tree,"S83, Halfway from H1-2 Near Skukuza",3/5,Shaahid and Raeesah,"Dec 20, 2023 · 10:35 AM UTC",2h
18,11:53am,1 Vervet Monkey in a tree,"S3, at the Mestel Dam Near Numbi Gate",5/5,Chris,"Dec 20, 2023 · 10:14 AM UTC",2h
21,11:37am,3 Buffalo stationary,"S114, 2.1km from H3 Near Malelane",5/5,KeeganHall,"Dec 20, 2023 · 9:53 AM UTC",2h
23,7:26am,1 Spotted Hyena on the move,"S25, 4km W of S27 Near Crocodile Bridge",5/5,GRHood,"Dec 20, 2023 · 9:00 AM UTC",3h
26,9:49am,2 Lion stationary,"H4-2, 4km N of S28 S entrance Near Crocodile Bridge",3/5,PietiePaashaas,"Dec 20, 2023 · 8:38 AM UTC",4h
27,4:50am,1 Lion on the move,"H3, 1km N of S110 tar Near Malelane",5/5,Mauritz,"Dec 20, 2023 · 8:38 AM UTC",4h
29,9:49am,2 Lion stationary,"H4-2, 1.5km N of S28 S entrance Near Crocodile Bridge",3/5,PietiePaashaas,"Dec 20, 2023 · 8:30 AM UTC",4h
30,9:16am,5 Wild Dog stationary,"H1-2, 3.6km N of Sabie low-level Bridge Near Skukuza",5/5,KennieG13,"Dec 20, 2023 · 8:30 AM UTC",4h
31,7:13am,1 Cheetah stationary,"H7, 550m E of S36 Near Satara",4/5,Luki,"Dec 20, 2023 · 8:24 AM UTC",4h
32,7:54am,2 lion stationary,"S41, 2km S of S100 Near Satara",5/5,danelsanta,"Dec 20, 2023 · 8:24 AM UTC",4h
37,9:38am,4 Wild Dog stationary,"H1-2, 3.6km N of Sabie low water Bridge Near Skukuza",5/5,Greeffies,"Dec 20, 2023 · 7:55 AM UTC",4h
42,4:51am,1 Serval on the move,"S114, 3km N of S21 Near Skukuza",5/5,Graeme,"Dec 20, 2023 · 6:53 AM UTC",5h
46,7:47am,6 Wild Dog stationary,"S25, 3.2km E of S119 Near Malelane",5/5,Elda81,"Dec 20, 2023 · 6:21 AM UTC",6h
48,7:19am,6 Wild Dogs on the move,"S25, 4km W of S27 Near Crocodile Bridge",5/5,GRHood,"Dec 20, 2023 · 6:17 AM UTC",6h
49,7:39am,Pack of Wild Dog stationary,"H1-2, 5km N of the Sabie Low-level Bridge Near Skukuza",5/5,trish,"Dec 20, 2023 · 6:17 AM UTC",6h
51,7:00am,1 Leopard in a tree,"H4-2, 2km N of H5 Near Crocodile Bridge",3/5,Neels,"Dec 20, 2023 · 6:16 AM UTC",6h
52,4:51am,1 Serval on the move,"S114, 3km N of S21 Near Skukuza",5/5,Monique,"Dec 20, 2023 · 6:15 AM UTC",6h
55,4:36am,1 Lion on the move,"H3, 1.2km W of S92 Near Olifants",5/5,KennieG13,"Dec 20, 2023 · 4:34 AM UTC",8h
