ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,11:39am,10 Elephant eating,"S114, 2.6km N of S118 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:06 AM UTC",25s
3,11:43am,1 Wild Dog sleeping,"S114, 1km N of S118 Near Malelane",3/5,CharlieSim,"Dec 30, 2023 · 10:06 AM UTC",26s
4,11:44am,1 Wild Dog stationary,"S114, 1km N of S118 Near Malelane",2/5,Wimpiekrugell,"Dec 30, 2023 · 10:06 AM UTC",26s
6,11:27am,Pack of Wild Dog stationary,"S114, 1km S of S119 Near Malelane",5/5,Tania,"Dec 30, 2023 · 10:02 AM UTC",4m
9,10:25am,1 Leopard stationary,"H1-1, 450m N of S11 W junction Near Pretoriuskop",5/5,Danny1809,"Dec 30, 2023 · 8:35 AM UTC",1h
10,7:45am,2 Elephant stationary,"H11, 3.1km E of S1 Near Skukuza",3/5,Andric,"Dec 30, 2023 · 8:35 AM UTC",1h
11,8:05am,1 Leopard ,"H4-2, 2.7km S of H5 Near Crocodile Bridge",3/5,DarbyFamily,"Dec 30, 2023 · 8:35 AM UTC",1h
12,9:48am,1 Giraffe ,"H3, 4.6km N of S114 Near Malelane",2/5,KiaravandenBerg,"Dec 30, 2023 · 8:35 AM UTC",1h
13,10:05am,4 Giraffe stationary,"H4-2, 450m S of S25 Near Crocodile Bridge",5/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC",1h
14,9:49am,3 Buffalo swimming,"H3, Mlambane bridge, N of S118 Near Malelane",3/5,AmyWall,"Dec 30, 2023 · 8:35 AM UTC",1h
15,10:08am,1 Steenbok crossed road,"H5, 2.1km W of S102 Near Lower Sabie",3/5,CharlieSim,"Dec 30, 2023 · 8:35 AM UTC",1h
16,10:14am,10 Giraffe stationary,"S28, 600m E of H4-2 S junction Near Crocodile Bridge",5/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC",1h
17,10:15am,1 Elephant on the move and Giraffe,"S28, 600m E of H4-2 S junction Near Crocodile Bridge",2/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC",1h
20,8:44am,1 Tree Squirrel ,"S25, near S27 (Hippo Pools Road) Near Crocodile Bridge",5/5,Tania,"Dec 30, 2023 · 7:53 AM UTC",2h
21,9:41am,Various Bird stationary,"S25, just before S139 Near Biyamiti Bush Camp",5/5,Tania,"Dec 30, 2023 · 7:53 AM UTC",2h
23,8:53am,20 Vulture flying,"S114, 1.4km S of S25 Near Malelane",5/5,AmyWall,"Dec 30, 2023 · 7:46 AM UTC",2h
24,7:53am,1 Leopard Torotoise crossed road,"H3, just N of Renosterpan turnoff Near Malelane",5/5,bushgirl97,"Dec 30, 2023 · 7:46 AM UTC",2h
29,7:51am,2 Lion stationary,"H7, at S106 W junction Near Orpen",5/5,Sheila,"Dec 30, 2023 · 7:09 AM UTC",2h
31,8:06am,2 Buffalo eating,"S25, 3.7km E of S26 Near Crocodile Bridge",5/5,Sicon,"Dec 30, 2023 · 6:22 AM UTC",3h
32,8:06am,3 Elephant eating,"H4-2, 3.1km S of S130 S junction Near Crocodile Bridge",5/5,RoelfJvR,"Dec 30, 2023 · 6:22 AM UTC",3h
34,7:57am,2 Buffalo stationary,"S25, 11.4km W of H4-2 Near Crocodile Bridge",1/5,Sicon,"Dec 30, 2023 · 6:22 AM UTC",3h
