Time,Animal Type and Number,Location,Rating,Tinged By,Title
12:30pm,3 Cheetahs,"S130, 2km S of S137 Near Lower Sabie",5/5,Ashlé Alberts,"Dec 30, 2023 · 3:56 PM UTC"
3:56pm,1 Leopard,"H1-2, on the road 100m S of H10 Near Tshokwane",5/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
3:01pm,Herd of Buffalo,"H1-3, 5.7km S of Nkaya pan Near Satara",4/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
2:50pm,50 Elephants,"H1-3, 500m S of Nkaya pan, 15m from the road Near Satara",4/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
12:53pm,1 Lion stationary,"H1-3, 1.1km S of S100, lying in the grass Near Satara",2/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
11:14am,1 Lion on the move,"H1-4, about 12km S of S147, going deeper into the bush Near Satara",2/5,Lunga,"Dec 30, 2023 · 3:40 PM UTC"
5:10pm,1 Vulture ,"S25, about 8.5km W of H4-2 Near Crocodile Bridge",5/5,ahamd madjooolooos son retires,"Dec 30, 2023 · 3:14 PM UTC"
1:21pm,2 Lions stationary,"S114, 220m S of S119 Near Malelane",5/5,BushAddict,"Dec 30, 2023 · 1:32 PM UTC"
2:20pm,Active den of Spotted Hyena,"H1-1, 1.2km N of S114. Near Skukuza",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 30, 2023 · 1:32 PM UTC"
2:40pm,1 Bateleur stationary,"S119, 1.2km E of Gardenia Hide Near Malelane",5/5,Neels,"Dec 30, 2023 · 1:31 PM UTC"
2:20pm,1 Wild Dog stationary,"S114, under thick bush 900m N of S118 Near Malelane",2/5,Neels,"Dec 30, 2023 · 1:31 PM UTC"
10:45am,1 Leopard ,"S114, between the Biyamiti Loop S23 N and S junctions Near Jock Safari Lodge",5/5,Amit,"Dec 30, 2023 · 1:30 PM UTC"
12:43pm,10 Elephants on the move,"S114, 2km S of S21 Near Skukuza",5/5,Wimpiekrugell,"Dec 30, 2023 · 11:28 AM UTC"
1:02pm,3 Lions on the move,"S25, by S27 Near Crocodile Bridge",5/5,RyanB96,"Dec 30, 2023 · 11:28 AM UTC"
1:09pm,3 Lions,"S25, 500m W from S27 50m from the road Near Crocodile bridge",3/5,Ryan,"Dec 30, 2023 · 11:16 AM UTC"
12:32pm,1 Lion sleeping,"S25, about 5km W of H4-2 Near Crocodile Bridge",3/5,Bianca Koster,"Dec 30, 2023 · 11:13 AM UTC"
8:28am,1 Leopard stationary,"H10, 1km N of H4-2 Near Lower Sabie",2/5,A38V,"Dec 30, 2023 · 11:13 AM UTC"
10:56am,2 Elephants,"H4-1, 3km E of H11 Near Skukuza",5/5,Raiden2912,"Dec 30, 2023 · 11:13 AM UTC"
10:51am,2 Elephants,"H4-1, 3.7km E of H11 Near Skukuza",5/5,Ob1,"Dec 30, 2023 · 11:12 AM UTC"
10:29am,1 Bateleur,"H1-4, midway between S127 and S147 Near Satara",5/5,Cand1ce143,"Dec 30, 2023 · 11:12 AM UTC"
10:36am,1 Verreaux's Eagle Owl stationary,"H1-4, just S of the S147 Near Satara",4/5,Cand1ce143,"Dec 30, 2023 · 11:12 AM UTC"
10:46am,4 Elephants on the move,"S28, 9.5km E of H4-2 S junction Near Crocodile Bridge",4/5,Melliebw,"Dec 30, 2023 · 11:12 AM UTC"
10:41am,1 Spotted Hyena crossed road and Impala,"H5, 200m E of S114 Near Skukuza",5/5,CharlieSim,"Dec 30, 2023 · 11:11 AM UTC"
10:32am,1 Leopard Tortoise crossed road,"H5, 1.9km E of S114 Near Skukuza",5/5,CharlieSim,"Dec 30, 2023 · 11:11 AM UTC"
10:26am,1 Steenbok on the move,"H5, 4.5km E of S114 Near Lower Sabie",2/5,CharlieSim,"Dec 30, 2023 · 11:11 AM UTC"
10:08am,1 Steenbok on the move,"H5, 2.3km W of S102 Near Lower Sabie",3/5,CharlieSim,"Dec 30, 2023 · 11:11 AM UTC"
10:32am,4 Southern Ground Hornbills on the move,"H1-4, between S127 and S147 Near Satara",5/5,Cand1ce143,"Dec 30, 2023 · 11:11 AM UTC"
10:44am,1 Elephant on the move,"H4-1, 2.9km E of H11 Near Skukuza",2/5,Andric,"Dec 30, 2023 · 11:10 AM UTC"
10:41am,4 Elephants stationary,"S28, 9.4km E of H4-2 S junction Near Crocodile Bridge",4/5,Melliebw,"Dec 30, 2023 · 11:10 AM UTC"
10:48am,5 Elephants eating,"S114, 6.3km S of S21 Near Skukuza",5/5,CharlieSim,"Dec 30, 2023 · 11:09 AM UTC"
11:03am,5 Elephant crossed road,"H4-2, 3.1km N of S28 S junction Near Crocodile Bridge",5/5,Dvtuijl,"Dec 30, 2023 · 10:15 AM UTC"
11:09am,3 Southern Ground Hornbill crossed road,"S114, 3.4km N of S139 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:15 AM UTC"
11:12am,3 Elephant eating,"S114, 2.6km N of S139 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:14 AM UTC"
11:39am,10 Elephant eating,"S114, 2.6km N of S118 Near Malelane",5/5,CharlieSim,"Dec 30, 2023 · 10:06 AM UTC"
11:43am,1 Wild Dog sleeping,"S114, 1km N of S118 Near Malelane",3/5,CharlieSim,"Dec 30, 2023 · 10:06 AM UTC"
11:44am,1 Wild Dog stationary,"S114, 1km N of S118 Near Malelane",2/5,Wimpiekrugell,"Dec 30, 2023 · 10:06 AM UTC"
11:27am,Pack of Wild Dog stationary,"S114, 1km S of S119 Near Malelane",5/5,Tania,"Dec 30, 2023 · 10:02 AM UTC"
10:25am,1 Leopard stationary,"H1-1, 450m N of S11 W junction Near Pretoriuskop",5/5,Danny1809,"Dec 30, 2023 · 8:35 AM UTC"
7:45am,2 Elephant stationary,"H11, 3.1km E of S1 Near Skukuza",3/5,Andric,"Dec 30, 2023 · 8:35 AM UTC"
8:05am,1 Leopard ,"H4-2, 2.7km S of H5 Near Crocodile Bridge",3/5,DarbyFamily,"Dec 30, 2023 · 8:35 AM UTC"
9:48am,1 Giraffe ,"H3, 4.6km N of S114 Near Malelane",2/5,KiaravandenBerg,"Dec 30, 2023 · 8:35 AM UTC"
10:05am,4 Giraffe stationary,"H4-2, 450m S of S25 Near Crocodile Bridge",5/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC"
9:49am,3 Buffalo swimming,"H3, Mlambane bridge, N of S118 Near Malelane",3/5,AmyWall,"Dec 30, 2023 · 8:35 AM UTC"
10:08am,1 Steenbok crossed road,"H5, 2.1km W of S102 Near Lower Sabie",3/5,CharlieSim,"Dec 30, 2023 · 8:35 AM UTC"
10:14am,10 Giraffe stationary,"S28, 600m E of H4-2 S junction Near Crocodile Bridge",5/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC"
10:15am,1 Elephant on the move and Giraffe,"S28, 600m E of H4-2 S junction Near Crocodile Bridge",2/5,Melliebw,"Dec 30, 2023 · 8:35 AM UTC"
8:44am,1 Tree Squirrel ,"S25, near S27 (Hippo Pools Road) Near Crocodile Bridge",5/5,Tania,"Dec 30, 2023 · 7:53 AM UTC"
9:41am,Various Bird stationary,"S25, just before S139 Near Biyamiti Bush Camp",5/5,Tania,"Dec 30, 2023 · 7:53 AM UTC"
8:53am,20 Vulture flying,"S114, 1.4km S of S25 Near Malelane",5/5,AmyWall,"Dec 30, 2023 · 7:46 AM UTC"
7:53am,1 Leopard Torotoise crossed road,"H3, just N of Renosterpan turnoff Near Malelane",5/5,bushgirl97,"Dec 30, 2023 · 7:46 AM UTC"
7:51am,2 Lion stationary,"H7, at S106 W junction Near Orpen",5/5,Sheila,"Dec 30, 2023 · 7:09 AM UTC"
8:06am,2 Buffalo eating,"S25, 3.7km E of S26 Near Crocodile Bridge",5/5,Sicon,"Dec 30, 2023 · 6:22 AM UTC"
8:06am,3 Elephant eating,"H4-2, 3.1km S of S130 S junction Near Crocodile Bridge",5/5,RoelfJvR,"Dec 30, 2023 · 6:22 AM UTC"
7:57am,2 Buffalo stationary,"S25, 11.4km W of H4-2 Near Crocodile Bridge",1/5,Sicon,"Dec 30, 2023 · 6:22 AM UTC"
7:42am,15 Chacma Baboon on the move,"H4-2, 500m N of S130 S junction Near Crocodile Bridge",5/5,DarbyFamily,"Dec 30, 2023 · 6:05 AM UTC"
7:35am,1 Lion stationary,"S25, 600m W of S27 Near Crocodile Bridge",5/5,CharlieSim,"Dec 30, 2023 · 6:05 AM UTC"
7:42am,1 Lion stationary,"S25, 1km W of S27 Near Crocodile Bridge",5/5,Schmitt Family,"Dec 30, 2023 · 5:53 AM UTC"
6:45am,2 Lion sleeping,"H7, at S106 W junction Near Orpen",5/5,tyma,"Dec 30, 2023 · 5:07 AM UTC"
6:22am,Video of the Lion on the move,"S1, 4.6km E after the S3 turn off towards Skukuza Near Phabeni",5/5,MoeyIsmail,"Dec 30, 2023 · 5:07 AM UTC"
5:15am,Herd of Buffalo eating,"H3, 7.7km N from S110 tar Near Malelane",5/5,Neels,"Dec 30, 2023 · 4:48 AM UTC"
5:10am,Beautiful Sunrise,"H3, 2km N from S110 tar Near Malelane",5/5,Neels,"Dec 30, 2023 · 4:48 AM UTC"
5:00am,1 Spotted Hyena on the move,"H3, at S114 junction Near Malelane",5/5,Neels,"Dec 30, 2023 · 4:47 AM UTC"
5:41am,Clan of Spotted Hyena on the move,"H1-6, near Mooiplaas, moving E with babies Near Mopani",5/5,Chris,"Dec 30, 2023 · 4:36 AM UTC"
5:00am,Pride of Lion stationary,"H1-6, near H15 to Malopenyana Near Letaba",5/5,Chris,"Dec 30, 2023 · 4:36 AM UTC"
5:20pm,2 Lions stationary,"S121, 1.7km W of S114 Near Malelane",5/5,Neels,"Dec 29, 2023 · 3:31 PM UTC"
4:10pm,Pride of Lion stationary,"S121, 1.7km W of S114 Near Malelane",5/5,Mel,"Dec 29, 2023 · 2:17 PM UTC"
4:09pm,4 Yellow billed Oxpeckers on back of Buffalo,"H3, 2.4km S of Biyamiti Bridge Near Jock Safari Lodge",5/5,Dean,"Dec 29, 2023 · 2:17 PM UTC"
3:39pm,1 Water Monitor catching fish,"S25, at Mlambane river crossing E of S119 Near Malelane",5/5,Mel,"Dec 29, 2023 · 1:49 PM UTC"
3:15pm,8 Buffalos stationary,"H3, 2.4km S of Biyamiti Bridge Near Jock Safari Lodge",5/5,Butterflylenke,"Dec 29, 2023 · 1:37 PM UTC"
1:25pm,1 Buffalo on the move,"H11, N'waswitshaka bridge Near Skukuza",4/5,Howlage,"Dec 29, 2023 · 11:41 AM UTC"
1:10pm,20 Elephants on the move,"S28, 9.1km E of H4-2 S junction Near Crocodile Bridge",5/5,AmyWall,"Dec 29, 2023 · 11:20 AM UTC"
1:05pm,1 Elephant eating,"S1, 750m E of S65 Near Skukuza",5/5,Koubergine,"Dec 29, 2023 · 11:20 AM UTC"
12:28pm,2 Bateleurs in a tree,"S28, 210m E of H4-2 S junction Near Crocodile Bridge",5/5,AmyWall,"Dec 29, 2023 · 11:14 AM UTC"
8:15am,1 Leopard crossed road now in tree,"H3, 600m N of S110 tar Near Malelane",5/5,AfricanBushKingdom,"Dec 29, 2023 · 10:33 AM UTC"
10:33am,1 Lion stationary,"H3, 50m S of S110 sand, on the Matjulu bridge Near Malelane",3/5,Wildphotos 40,"Dec 29, 2023 · 10:31 AM UTC"
