Time,Animal Type and Number,Location,Rating,Tinged By,Title
8:50am,Pack of Wild Dog stationary,"S110 tar, 200m W of H3, lying in shade close to the road Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 14, 2023 · 7:53 AM UTC"
9:01am,Pack of Wild Dog stationary,"H3, 100m N of S110 tar, under the bushes within 3m of the road Near Malelane",3/5,JessicaJane,"Dec 14, 2023 · 7:14 AM UTC"
6:22am,Pack of Wild Dog stationary,"S110 tar, they were running on the H3 but have now settled down on the S110 tar Near Malelane",5/5,Aryeh,"Dec 14, 2023 · 4:57 AM UTC"
4:40pm,Pack of Wild Dog stationary,"S121, 3km E of H3 Near Malelane",5/5,Chene and sion,"Dec 13, 2023 · 2:53 PM UTC"
10:18am,4 Wild Dogs sleeping,"H3, 200m S of Afsaal Near Malelane",5/5,The Neumann Girls,"Dec 13, 2023 · 8:40 AM UTC"
7:30am,Pack of Wild Dog on the move,"""Heading North."" H1-4, at the S89 junction Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 7:54 AM UTC"
7:42am,7 Wild Dogs on the move,"""Bathing in a puddle."" S25, 6.1km E of S26 Near Crocodile Bridge",5/5,Didi,"Dec 13, 2023 · 5:50 AM UTC"
5:55am,10 Wild Dog on the move,"S128, 1.2km N of S30 Near Lower Sabie",5/5,Mdmar,"Dec 12, 2023 · 11:01 AM UTC"
7:26am,Pack of Wild Dog on the move,"""Moving towards H1-1."" S65, 1km from H1-1 Near Skukuza",5/5,"Justin, Nikki and Gayle","Dec 12, 2023 · 9:17 AM UTC"
8:36am,5 Wild Dog stationary,"H3, 5km n of Afsaal Near Malelane",4/5,wimhomble,"Dec 12, 2023 · 7:31 AM UTC"
3:35pm,4 Wild Dog stationary,"S25, 3.5km E of S119 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 2:40 PM UTC"
1:55pm,4 Wild Dog stationary,"S25, 3.5km E of S119 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 12:04 PM UTC"
1:45pm,Pack of Wild Dog stationary,"""One is collared. Some are sleeping on the road while some are looking restless and keen for a hunt. A Hyena lurking in the background."" H3, at the Mlambane Bridge Near Malelane",5/5,Lynette,"Dec 11, 2023 · 12:02 PM UTC"
12:44pm,6 Wild Dog stationary,"S110 gravel, 5.6km W of S120 Near Berg en Dal",5/5,GraemeK,"Dec 11, 2023 · 10:54 AM UTC"
11:21am,12 Wild Dog stationary,"S25, 3.5km E of S119 Near Malelane",5/5,TreeHugger,"Dec 11, 2023 · 9:28 AM UTC"
6:20am,10 Wild Dog hunting,"S26, 300m from S25 Near Crocodile Bridge",5/5,minwyn02,"Dec 11, 2023 · 5:03 AM UTC"
12:31pm,5 Wild Dog stationary,"S1, 1.1km W of Nyamundwa dam Near Phabeni",3/5,Kylelaing26,"Dec 9, 2023 · 10:55 AM UTC"
9:39am,5 Wild Dog stationary,"S1, 1km W of Nyamundwa dam Near Phabeni",2/5,MikaylaSindlerova,"Dec 9, 2023 · 8:15 AM UTC"
7:22am,16 Wild Dog on the move,"S25, 5.4km W of S139 Near Biyamiti Bush Camp",5/5,TreeHugger,"Dec 9, 2023 · 6:25 AM UTC"
6:56am,Pack of Wild Dog on the move,"""Heading East"" S25, about 4 or 5km W of S139 Near Biyamiti Bush Camp Turnoff",5/5,Niek,"Dec 9, 2023 · 5:26 AM UTC"
