Time,Animal Type and Number,Location,Rating,Tinged By,Title
10:20am,3 Cheetah stationary,"S28, 10.7km N of S28 S junction, about 100m in on  grassy mound Near Crocodile Bridge",3/5,Unknown,"Dec 14, 2023 · 8:29 AM UTC"
10:22am,4 Giraffe ,"H1-1, 1.9km N of S114 Near Skukuza",4/5,Tommi,"Dec 14, 2023 · 8:27 AM UTC"
10:05am,3 Lion on the move,"""Lioness and 2 males"" H3, at S110 tar junction Near Malelane",5/5,Dalleen,"Dec 14, 2023 · 8:25 AM UTC"
8:50am,Pack of Wild Dog stationary,"S110 tar, 200m W of H3, lying in shade close to the road Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 14, 2023 · 7:53 AM UTC"
9:24am,1 Leopard stationary,"H9, just past Masorini picnic site, 10m off the road in drainage lin Near Phalaborwa",5/5,Philip,"Dec 14, 2023 · 7:30 AM UTC"
9:25am,1 Elephant stationary,"""In musth"" H5, about 6km W of S102 towards S114 Near Lower Sabie",5/5,Motalas,"Dec 14, 2023 · 7:30 AM UTC"
8:30am,Large herd of Buffalo stationary,"""Big tree blocking the road to the buffaloes from the north but it is possible to pass it"" S130, 2.5km S of S137 Near Lower Sabie",5/5,Moshe sos,"Dec 14, 2023 · 7:16 AM UTC"
9:01am,Pack of Wild Dog stationary,"H3, 100m N of S110 tar, under the bushes within 3m of the road Near Malelane",3/5,JessicaJane,"Dec 14, 2023 · 7:14 AM UTC"
8:30am,3 Cheetah on the move,"H5, about 3km W of S102 towards the S114 Near Lower Sabie",5/5,Motalas,"Dec 14, 2023 · 6:51 AM UTC"
8:21am,Photo of the Spotted Hyena eating a bone on the side of the road,"H3, N of Mlambane river just N of Renosterpan, on the W side of road but before Afsaal Near Malelane",5/5,SGL,"Dec 14, 2023 · 6:40 AM UTC"
8:20am,Pride of Lion on the move,"""Lionesses and cubs were sitting then  crossed the road one cub was injured looked like a pretty deep cut on abdomen"" H1-2, about 5km W of H12 Near Skukuza",5/5,Naz and Laila,"Dec 14, 2023 · 6:36 AM UTC"
8:21am,1 Spotted Hyena feeding,"""Chewing on an impala leg"" H3, 2.1km S of Afsaal Near Malelane",5/5,kelsww,"Dec 14, 2023 · 6:30 AM UTC"
8:21am,1 Spotted Hyena stationary,"""Eating a bone on the side of the road"" H3, N of Mlambane river just N of Renosterpan, on the W side of road but before Afsaal Near Malelane",5/5,SGL,"Dec 14, 2023 · 6:28 AM UTC"
7:50am,Photo of the Lionesses and cubs that crossed road,"H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:24 AM UTC"
8:15am,"Road blocked by Tree branches, can't pass","S130, about 10km N of H4-2 S Near Crocodile Bridge",5/5,M,"Dec 14, 2023 · 6:21 AM UTC"
7:50am,5 Lion crossed road,"""3 lionesses and 2 cubs"" H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:14 AM UTC"
7:36am,1 Leopard crossed road,"H3, 220m S of S118 Near Malelane",5/5,kelsww,"Dec 14, 2023 · 6:07 AM UTC"
7:49am,2 Spotted Hyena on the move with her cubs right next to the road,"H11, 6.4km E of S1 Near Skukuza",5/5,AusPat2023,"Dec 14, 2023 · 6:00 AM UTC"
6:58am,1 Buffalo stationary,"H4-1, 600m W of Sunset dam Near Lower Sabie",5/5,GMV,"Dec 14, 2023 · 5:28 AM UTC"
6:53am,3 Spotted Hyena on the move,"""Chasing each other around"" S114, 300m N of S121 Near Malelane",5/5,kelsww,"Dec 14, 2023 · 5:28 AM UTC"
6:22am,Pack of Wild Dog stationary,"S110 tar, they were running on the H3 but have now settled down on the S110 tar Near Malelane",5/5,Aryeh,"Dec 14, 2023 · 4:57 AM UTC"
5:06am,1 Leopard was stationary,"H3, 170m N of S118, ran off into bushes, possibly on the hunt Near Malelane",5/5,kelsww,"Dec 14, 2023 · 4:54 AM UTC"
6:30am,7 Lion on a kill,"""Including Casper"" H1-3, 3km S of H6 on the E side next to road with a Zebra kill Near Satara",5/5,Donald - Kruger Park Safaris,"Dec 14, 2023 · 4:48 AM UTC"
4:48am,3 Spotted Hyena on the move,"""Mom and 2 cubs"" H1-1, 750m N of S114 Near Skukuza",5/5,Rafaelwall85,"Dec 14, 2023 · 4:20 AM UTC"
