Time,Animal Type and Number,Location,Rating,Tinged By,Title
8:40am,3 Giraffes stationary,"S114, 2.7km from H3 Near Malelane",4/5,davidtheironman,"Dec 17, 2023 · 6:45 AM UTC"
7:44am,13 Lions stationary,"S25, 800m from H4-2 Near Crocodile Bridge",5/5,Tetragrammaton,"Dec 17, 2023 · 6:32 AM UTC"
8:05am,5 Elephant on the move,"H3, 1.1km S of S120 Near Malelane",5/5,Zeldavd,"Dec 17, 2023 · 6:16 AM UTC"
7:52am,2 Spotted Hyena sleeping,"H7, 400m E of S106 W entrance Near Orpen",5/5,alerasmus,"Dec 17, 2023 · 6:15 AM UTC"
7:19am,1 Brown Snake Eagle feeding,"S25, 9km E of S119 Near Malelane",5/5,AdeIE,"Dec 17, 2023 · 5:33 AM UTC"
7:16am,10 plus Lion stationary,"S114, 2km N of S23, S entrance Near Malelane",5/5,Jochemvanwattum,"Dec 17, 2023 · 5:33 AM UTC"
6:52am,5 Elephant stationary,"S20, 450m from H1-1 Near Pretoriuskop",5/5,Cartman85,"Dec 17, 2023 · 5:19 AM UTC"
6:55am,10 Lion stationary,"S25, 800m Hrom H4-2 Near Crocodile Bridge",4/5,Tetragrammaton,"Dec 17, 2023 · 5:19 AM UTC"
6:53am,2 Southern Ground Hornbill stationary,"S114, 1.4km N of S139 Near Malelane",5/5,JenDeghaye,"Dec 17, 2023 · 5:10 AM UTC"
6:35am,5 Southern Ground Hornbill stationary,"S119, 400m from S25 Near Malelane",5/5,AdeIE,"Dec 17, 2023 · 5:10 AM UTC"
5:06am,6 Lion stationay,"S112, 4.5km E of H3 Near Skukuza",5/5,Sj_nic,"Dec 17, 2023 · 4:48 AM UTC"
5:20am,15 Wild Dog on the move,"S110 tar, 5km W of H3 Near Malelane",5/5,woest,"Dec 17, 2023 · 4:23 AM UTC"
5:57am,10 Lion stationay,"S25, 800m W of H4-2 Near Crocodile Bridge",5/5,KeeganHall,"Dec 17, 2023 · 4:23 AM UTC"
5:35pm,1 Leopard feeding,"S25, 650m W of S119 Near Malelane",3/5,AdelE,"Dec 16, 2023 · 3:45 PM UTC"
5:23pm,2 Lion sleeping,"S25, 2.1km E of S114 Near Malelane",5/5,AdelE,"Dec 16, 2023 · 3:36 PM UTC"
4:44pm,1 Spotted Hyena crossed road,"H4-2, 700m N of H5 Near Lower Sabie",5/5,Schalk110,"Dec 16, 2023 · 3:32 PM UTC"
4:51pm,2 Buffalo stationary,"H4-2, 1.8km S of H5 Near Crocodile Bridge",4/5,Schalk110,"Dec 16, 2023 · 3:32 PM UTC"
5:06pm,2 Lion stationary,"H4-2, 1.4km N of S28 S junction Near Crocodile Bridge",4/5,Schalk110,"Dec 16, 2023 · 3:32 PM UTC"
5:10pm,2 Lion stationary,"S25, 1.8km from S114 Near Malelane",5/5,MRS,"Dec 16, 2023 · 3:27 PM UTC"
5:12pm,2 Lion ,"H4-2, 1.4km N of S28 S junction Near Crocodile Bridge",3/5,NicoleBrighton,"Dec 16, 2023 · 3:24 PM UTC"
3:58pm,2 Lion mating,"H4-2, 2.7km N of S28 N junction Near Lower Sabie",5/5,NicoleBrighton,"Dec 16, 2023 · 3:24 PM UTC"
1:15pm,1 Black backed Jackal on the move,"S36, 1,1km N of S126 Near Satara",5/5,Jenben5,"Dec 16, 2023 · 3:13 PM UTC"
4:22pm,2 Lion sleeping,"S25, 2km E of S114 Near Malelane",5/5,woest,"Dec 16, 2023 · 3:13 PM UTC"
2:44pm,6 Spotted Hyena stationary,"H1-1, 2.6km S of H11 Near Skukuza",2/5,sgerritsen,"Dec 16, 2023 · 3:13 PM UTC"
3:28pm,4 Sable Antelopes stationary,"S128, 500m N of S30 Near Lower Sabie",4/5,Henri and Rudi,"Dec 16, 2023 · 2:52 PM UTC"
3:07pm,6 Elephants eating,"H4-2, 1.3km N of H5 Near Lower Sabie",3/5,LianePretorius,"Dec 16, 2023 · 2:14 PM UTC"
7:40am,1 Chacma Baboon in a tree,"S28, 350m N of S137 Near Lower Sabie",3/5,LianePretorius,"Dec 16, 2023 · 2:13 PM UTC"
3:05pm,2 Lions stationary,"S25, 1.7km E of S114 Near Malelane",4/5,jade,"Dec 16, 2023 · 1:56 PM UTC"
2:59pm,2 Lions crossed road,"H4-2, 3km S of S130 S junction Near Crocodile Bridge",5/5,Meerkat629,"Dec 16, 2023 · 1:55 PM UTC"
2:23pm,2 Lions,"H5, 600m W of H4-2 Near Crocodile Bridge",5/5,Waza,"Dec 16, 2023 · 1:55 PM UTC"
8:23am,1 Spotted Hyena on the move,"S114, 5km S of H1-1 Near Skukuza",5/5,Jessxx,"Dec 16, 2023 · 1:51 PM UTC"
2:02pm,2 Elephants eating,"H6, 9.6km from H1-3 Near Satara",4/5,Scheeperse,"Dec 16, 2023 · 1:03 PM UTC"
1:09pm,2 Lions,"S25, 1.9km E of S114 Near Malelane",5/5,FraserWJ,"Dec 16, 2023 · 12:57 PM UTC"
1:53pm,5 Giraffes eating,"S83, 2.1km N of H1-2 E junction Near Skukuza",4/5,Sarahr2023,"Dec 16, 2023 · 12:57 PM UTC"
12:10pm,4 Spotted Hyena playing,"H1-3, 5.8km S of S126 Near Satara",5/5,Belindaoelofse,"Dec 16, 2023 · 11:41 AM UTC"
10:07am,2 Lion mating,"H1-3, 1.5km S of Sweni Bridge on W side Near Satara",5/5,Enezcramer,"Dec 16, 2023 · 11:22 AM UTC"
12:18pm,1 Verreaux's Eagle Owl stationary,"H7, 1.5km W of S106 E junction Near Orpen",5/5,Jenben5,"Dec 16, 2023 · 11:22 AM UTC"
11:57am,3 Giraffe stationary,"H7, 4.9km W of S106 E junction Near Orpen",4/5,Jenben5,"Dec 16, 2023 · 11:22 AM UTC"
11:35am,1 Marabou Stork stationary,"H4-2, 700m N of S25 Near Crocodile Bridge",5/5,Schalck,"Dec 16, 2023 · 9:57 AM UTC"
7:13am,20 Wild Dogs on the move and Spotted Hyena,"S114, just off the H1-1 Near Skukuza",5/5,Schalck,"Dec 16, 2023 · 9:57 AM UTC"
10:28am,1 Spotted Hyena on the move,"S25, at Lukimbi Safari Lodge turnoff Near Malelane",5/5,KYR,"Dec 16, 2023 · 9:31 AM UTC"
10:06am,1 Spotted Hyena,"H11, 400m S of H4-1 Near Skukuza",5/5,TylieB,"Dec 16, 2023 · 8:50 AM UTC"
8:15am,Pod of Hippopotami stationary,"H4-1, Sunset dam Near Lower Sabie",4/5,jade,"Dec 16, 2023 · 8:50 AM UTC"
9:31am,1 Leopard ,"S34, just N of H1-3 Near Tshokwane",5/5,Engelbrecht,"Dec 16, 2023 · 8:50 AM UTC"
9:28am,1 Spotted Hyena on the move,"H4-2, 800m N of H5 Near Lower Sabie",5/5,KeeganHall,"Dec 16, 2023 · 8:47 AM UTC"
8:50am,4 Elephant on the move,"H3, 800m N of S118 Near Malelane",5/5,NickavdM,"Dec 16, 2023 · 8:47 AM UTC"
7:31am,3 Spotted Hyena on the move,"H5, 1km E of S108 Near Crocodile Bridge",3/5,NicoleBrighton,"Dec 16, 2023 · 8:25 AM UTC"
8:49am,4 Giraffe stationary,"S1, 2.7km E of S3 Near Phabeni",5/5,gertehlers,"Dec 16, 2023 · 8:25 AM UTC"
7:14am,2 Lion mating,"S83, 1.6km N of H1-2 W junction Near Skukuza",5/5,CaBiagi 1508,"Dec 16, 2023 · 8:25 AM UTC"
9:55am,Herd of Buffalo stationary,"H4-2, 500m N before H5 turn off Near Lower Sabie",5/5,Sunflower,"Dec 16, 2023 · 8:16 AM UTC"
9:20am,1 Leopard on the move,"S110 sand, at H3 junction, crossed the Matjulu river bed and walked parallel to the road about 200m in Near Malelane",5/5,KYR,"Dec 16, 2023 · 8:16 AM UTC"
8:00am,1 Leopard stationary,"H4-2, 2.4km S before S82 S junction Near Lower Sabie",5/5,Sunflower,"Dec 16, 2023 · 7:17 AM UTC"
8:13am,5 Elephant ,"S119, 1.2km N of S25 Near Malelane",5/5,Belindaoelofse,"Dec 16, 2023 · 6:49 AM UTC"
7:48am,"5 Wild Dog crossed road, now under tree","S25, 6.7km E of S119 Near Malelane",5/5,Belindaoelofse,"Dec 16, 2023 · 6:17 AM UTC"
5:51am,3 Wild Dog stationary,"H11, 3.2km E of S1 Near Skukuza",5/5,Worsie 01,"Dec 16, 2023 · 5:17 AM UTC"
5:22am,1 Spotted Hyena crossed road,"S110 tar, 3.5km W of H3 Near Malelane",5/5,MargueriteBrussow,"Dec 16, 2023 · 4:57 AM UTC"
6:10am,1 African Fish Eagle stationary,"S28, 1.2km E of H4-2 S junction Near Crocodile Bridge",4/5,LianePretorius,"Dec 16, 2023 · 4:57 AM UTC"
