Time,Animal Type and Number,Location,Rating,Tinged By,Title
11:20am,1 African Fish Eagle in a tree,"S3, 3km from H11 Near Paul Kruger Gate",5/5,Frannie - Tambotie Transfers and Tours,"Dec 12, 2023 · 11:37 AM UTC"
12:02pm,2 African Fish Eagle stationary,"S114, 1.9km N of S25 Near Malelane",2/5,Youdabambi,"Dec 11, 2023 · 10:10 AM UTC"
11:24am,1 Bateleur in a tree,"Gasanftombi Road, 140m W of H4-2 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 10, 2023 · 10:19 AM UTC"
6:40am,1 Verreaux's Eagle Owl stationary,"S27, 550m S of S25 Near Crocodile Bridge",5/5,NatgeoJames,"Dec 10, 2023 · 5:01 AM UTC"
4:47pm,1 Tawny Eagle in a tree,"H4-2, 450m S of S25 Near Crocodile Bridge",4/5,NatgeoJames,"Dec 9, 2023 · 3:11 PM UTC"
8:52am,1 Tawny Eagle in a tree and Nyala,"H4-2, 4.8km N of H5 Near Lower Sabie",5/5,Ray78,"Dec 9, 2023 · 2:09 PM UTC"
3:23pm,1 African Hawk Eagle in a tree,"""Brilliant sighting"" S28, 8.6km E of H4-2 S junction Near Crocodile Bridge",5/5,Ray78,"Dec 9, 2023 · 2:09 PM UTC"
8:09am,Beautiful Verreaux's Eagle Owl stationary on the ground and Tawny Eage in a tree,"S27, 400m S of S25 Near Crocodile Bridge",5/5,HesterM1076,"Dec 9, 2023 · 7:24 AM UTC"
5:19pm,1 Tawny Eagle eating,"S28, 7.9km E of H4-2 S junction Near Crocodile Bridge",5/5,NatgeoJames,"Dec 8, 2023 · 3:46 PM UTC"
2:51pm,2 Tawny Eagle stationary,"H3, 300m N of S110 tar Near Malelane",5/5,Followyourtrip,"Dec 6, 2023 · 1:05 PM UTC"
9:55am,1 Verreaux's Eagle Owl ,"S28, about 7km E of H4-2 S junction Near Crocodile Bridge",5/5,Marie and Hendrik,"Dec 2, 2023 · 8:22 AM UTC"
6:55am,1 Martial Eagle in a tree near Buffalo,"H11, N side of N'waswitshaka Bridge Near Skukuza",5/5,SusiedB,"Nov 30, 2023 · 6:00 AM UTC"
6:20am,1 Bateleur stationary,"""On the ground. Later flew into the tree top."" S108, 100m W of H5 Near Crocodile Bridge",3/5,Barry,"Nov 27, 2023 · 6:57 AM UTC"
6:00am,1 Black chested Snake Eagle in a tree,"H4-2, 7.1km S of S130, N entrance Near Crocodile Bridge",3/5,Barry,"Nov 27, 2023 · 6:57 AM UTC"
