Time,Animal Type and Number,Location,Rating,Tinged By,Title
10:05am,3 Lion on the move,"""Lioness and 2 males"" H3, at S110 tar junction Near Malelane",5/5,Dalleen,"Dec 14, 2023 · 8:25 AM UTC"
8:20am,Pride of Lion on the move,"""Lionesses and cubs were sitting then  crossed the road one cub was injured looked like a pretty deep cut on abdomen"" H1-2, about 5km W of H12 Near Skukuza",5/5,Naz and Laila,"Dec 14, 2023 · 6:36 AM UTC"
7:50am,Photo of the Lionesses and cubs that crossed road,"H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:24 AM UTC"
7:50am,5 Lion crossed road,"""3 lionesses and 2 cubs"" H1-2, about 5km W of H12 Near Skukuza",5/5,Yadhir,"Dec 14, 2023 · 6:14 AM UTC"
6:30am,7 Lion on a kill,"""Including Casper"" H1-3, 3km S of H6 on the E side next to road with a Zebra kill Near Satara",5/5,Donald - Kruger Park Safaris,"Dec 14, 2023 · 4:48 AM UTC"
5:59am,3 Lion stationary,"H4-2, 300m N of S28 S Near Crocodile Bridge",2/5,NicoleBrighton,"Dec 14, 2023 · 4:20 AM UTC"
5:40am,Pride of Lion stationary,"H4-2, 300m N of S28 S Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Dec 14, 2023 · 4:13 AM UTC"
3:29pm,1 Lion on a kill,"""Lioness a Blue wildebeest kill on the right-hand side,150m N past Gudzani East waterhole. It's easy to see the wildebeest, the lioness is lying in tall grass about 50m from the kill."" S41, 6.5km N of S100 Near Satara",5/5,Drian,"Dec 13, 2023 · 3:30 PM UTC"
2:00pm,2 Lion stationary,"""A lioness with a cub lying on the eastern side."" H1-4, 200m N of Nyamarhi waterhole Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 12:21 PM UTC"
12:15pm,Pride of Lion stationary,"""Under a bush on the northern side."" Duke waterhole access road, 300m from S137 Near Lower Sabie",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 11:47 AM UTC"
8:15am,3 Lion on the move with kill,"S41, 6.5km S of S90 Near Satara",5/5,Mdmar,"Dec 13, 2023 · 10:29 AM UTC"
10:00am,1 Lion stationary,"""A male on the right-hand side of the road. He was initially standing, walked some steps, and then lay down in the grass."" S40, 200m N of H7 Near Satara",3/5,Grietje,"Dec 13, 2023 · 10:25 AM UTC"
10:30am,Pride of Lion stationary,"""Update: They are still here, on the northern side of the road. Visibility varies from 2/5 to 4/5."" H5, 4.2km S of S108 Near Crocodile Bridge",4/5,Christelle - Capture Nature Kruger Safaris,"Dec 13, 2023 · 10:25 AM UTC"
9:15am,2 Lions stationary,"""Males in the grass, 70m from the road on the eastern side. Visibility is 5/5 when up."" S40, 400m from H7 Near Satara",5/5,Alberto - Matimba Lodge,"Dec 13, 2023 · 7:53 AM UTC"
7:15am,2 Lions stationary,"""Males in the bushes next to the road on the eastern side. We were the first car by them. They then both got up and moved deeper into the bush. Visual varies. H3, 4.5km N of S113 Near Skukuza",5/5,MichaelLever1 - Latest Sightings,"Dec 13, 2023 · 7:29 AM UTC"
8:54am,5 Lions sleeping,"H5, 2.1km from H4-2 Near Crocodile Bridge",4/5,Didi,"Dec 13, 2023 · 6:59 AM UTC"
6:00am,2 Lions on the move,"""Walking on the road."" S30, just off H12 Near Skukuza",5/5,Gert,"Dec 13, 2023 · 6:37 AM UTC"
7:55am,1 Lion stationary,"""A female."" S25, 3.6km E of S26 Near Crocodile Bridge",4/5,Didi,"Dec 13, 2023 · 6:06 AM UTC"
7:43am,2 Lions stationary,"S118, 850m from S114 Near Malelane",3/5,JessicaJane,"Dec 13, 2023 · 5:57 AM UTC"
7:28am,1 Lion stationary,"S25, 3.6km E of S26 Near Crocodile Bridge",3/5,BerniceVos,"Dec 13, 2023 · 5:35 AM UTC"
1:30pm,Pride of Lion ,"""Update: they are sleeping."" S108, 100m from H5 Near Crocodile Bridge",5/5,Yusuf,"Dec 12, 2023 · 12:29 PM UTC"
12:39pm,4 Lion sleeping,"S108, 170m from H5 Near Crocodile Bridge",5/5,sarajanemalone,"Dec 12, 2023 · 11:00 AM UTC"
11:45am,1 Lion stationary,"""Update: Male on the western side of the road under a bush."" H1-1, 230m S of S114 Near Skukuza",5/5,MichaeLLever1 - Latest Sightings,"Dec 12, 2023 · 10:19 AM UTC"
11:45am,7 Lion stationary.,"""Relaxing and sleeping."" S108, 170m from H5 Near Crocodile Bridge",5/5,Liske and Gian,"Dec 12, 2023 · 10:09 AM UTC"
9:55am,3 Lion stationary,"S137, 500m E of Duke waterhole access road Near Lower Sabie",5/5,Ou Maat,"Dec 12, 2023 · 8:59 AM UTC"
9:58am,2 Lion stationary,"""Lionesses."" S137, 200m E of Duke waterhole access road Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC"
9:55am,1 Lion stationary,"""A young male lying flat."" S137, 4.6km from S130 Near Lower Sabie",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 8:32 AM UTC"
9:07am,1 Lion drinking,"""It wants to drink water but is scared of the hippo in the water."" S25, 2.3km W of S27 Near Crocodile Bridge",1/5,Tinnerie,"Dec 12, 2023 · 7:31 AM UTC"
8:58am,6 Lion stationary,"""Update: They are still here."" S108, 170m from H5 Near Crocodile Bridge",5/5,Didi,"Dec 12, 2023 · 7:08 AM UTC"
7:05am,5 Lion on the move,"""Males and a females."" H4-2, 2.6km from Crocodile Bridge",5/5,Didi,"Dec 12, 2023 · 7:08 AM UTC"
7:00am,6 Lion stationary,"""A male and 5 females."" S108, 100m from H5 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 12, 2023 · 6:44 AM UTC"
7:25am,3 Lion stationary,"S118, just near S114 Near Malelane",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 6:34 AM UTC"
5:50am,2 Lion on the move,"""Males moving into the bushes."" S112, 1.3km from S114 Near Skukuza",5/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 6:34 AM UTC"
5:10am,1 Lion stationary,"""On the eastern side of the road. It has gone to lie behind a bush."" H1-1, 350m S of S114 Near Skukuza",4/5,MichaelLever1 - Latest Sightings,"Dec 12, 2023 · 6:34 AM UTC"
7:08am,3 Lion stationary,"""Lionesses on the northern side."" S137, 500m E of Duke turnoff Near Lower Sabie",5/5,Andre and Corlia,"Dec 12, 2023 · 6:22 AM UTC"
7:00am,1 Lion stationary,"""A male."" S137, 500m E of Duke turnoff Near Lower Sabie",5/5,Andre and Corlia,"Dec 12, 2023 · 6:22 AM UTC"
7:20am,4 Lion on the move,"""Update: On the east side of the road. They moved into the distance from the side of the road."" H4-2, 1km N of S25 Near Crocodile Bridge",5/5,Yusuf,"Dec 12, 2023 · 6:03 AM UTC"
5:34am,4 Lion stationary,"""Lionesses lying scattered about 250m into the veld."" H4-2, 2.6km from Crocodile Bridge Camp Gate",5/5,Andre and Corlia,"Dec 12, 2023 · 4:27 AM UTC"
12:50pm,1 plus Lion stationary,"""We can see a female lying under the bush, but it seems there are also cubs just to the west of the lollipop."" H4-1, 3.7km W of H12 Near Skukuza",3/5,MichaelLever1 - Latest Sightings,"Dec 11, 2023 · 11:22 AM UTC"
1:06pm,4 Lion stationary,"""Update: There are 2 males and 2 females. The second male and two females are on the opposite side of the road and visibility is 3/5. The one male is out in the open and visibility is 5/5."" S114, 950m N of S118 Near Malelane",5/5,KopiteonSafari,"Dec 11, 2023 · 11:14 AM UTC"
12:48pm,1 Lion stationary,"S114, 950m N of S118 Near Malelane",4/5,KopiteonSafari,"Dec 11, 2023 · 10:54 AM UTC"
8:45am,8 Lion stationary,"""On the grass."" S102, 600m N of the Buffelsdoring waterhole Near Crocodile Bridge",5/5,NatgoeJames,"Dec 11, 2023 · 8:25 AM UTC"
7:47am,8 Lion stationary,"""Lying around. There is a male also."" S102, 1.8km from S26 Near Crocodile Bridge",5/5,Andre and Corlia,"Dec 11, 2023 · 7:35 AM UTC"
8:14am,8 Lion stationary,"""Very lazy."" S102, 600m N of the Buffelsdoring waterhole Near Crocodile Bridge",5/5,BerniceVos,"Dec 11, 2023 · 6:25 AM UTC"
7:30am,8 Lion sleeping,"""1 male and 7 females."" S102, 600m N of the Buffelsdoring waterhole Near Crocodile Bridge",4/5,minwyn02,"Dec 11, 2023 · 6:12 AM UTC"
7:00am,2 Lion on a kill,"""Two males on a giraffe kill. Not much is left of the giraffe."" H1-6, 2km N of S48, N entrance Near Mopani",5/5,Lynette,"Dec 11, 2023 · 6:05 AM UTC"
6:56am,3 Lion stationary,"S114, 1.1km N of S118 Near Malelane",5/5,Afghan,"Dec 11, 2023 · 5:09 AM UTC"
6:13am,2 Lion stationary,"""Males chilling 200m in."" At the Nyamundwa Dam wall, off S1 Near Phabeni",4/5,Neumann Girls,"Dec 11, 2023 · 4:35 AM UTC"
2:30pm,1 Lion stationary,"""Lioness still in the riverbed"" H1-2, Mutlumuvi Bridge on N side Near Skukuza",5/5,AbdullahCajee03 - Bajee Squad,"Dec 10, 2023 · 2:30 PM UTC"
3:30pm,4 Lions stationary,"""Lioness with 3 cubs. Little cubs playing around in the rain,mother getting irritated also"" H4-1, about 5km W of H12 on the N side of road Near Skukuza",5/5,AbdullahCajee03 - Bajee Squad,"Dec 10, 2023 · 2:30 PM UTC"
10:15am,1 Lion stationary,"""Wouldn't have seen it if another car hadn't pointed it out"" H1-2, on the E side of the Sand river bridge, quite far off Near Skukuza",2/5,Michael - Latest Sightings,"Dec 10, 2023 · 2:18 PM UTC"
2:04pm,2 Lions stationary,"S118, 5.6km E of H3 Near Malelane",5/5,ToyahM,"Dec 10, 2023 · 1:36 PM UTC"
1:49pm,1 Lion stationary,"H1-2, Lying in the Sand river Near Skukuza",5/5,K,"Dec 10, 2023 · 1:35 PM UTC"
12:27pm,Pride of Lion stationary,"S102, 4km N of Mpondo dam Near Lower Sabie",5/5,Tauhirah,"Dec 10, 2023 · 10:45 AM UTC"
10:53am,1 Lion stationary,"S3, 7.4km S of S1 Near Phabeni",5/5,CathBauwens,"Dec 10, 2023 · 10:19 AM UTC"
10:32am,3 Lion stationary,"H3, 1.7km S of S113 in the riverbed Near Jock Safari Lodge",2/5,Hauptfleisch,"Dec 10, 2023 · 8:57 AM UTC"
9:17am,2 Lion stationary,"S118, 2km W of S114 Near Malelane",4/5,Hauptfleisch,"Dec 10, 2023 · 8:57 AM UTC"
9:17am,2 Lion stationary,"S118, 1.7km W of S114 Near Malelane",4/5,Hauptfleisch,"Dec 10, 2023 · 8:18 AM UTC"
7:20am,1 Lion stationary,"H1-2, lying completely visible in the Mutlumuvi riverbed on the sand Near Skukuza",5/5,Lynette,"Dec 10, 2023 · 8:11 AM UTC"
