ID,Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
2,11:50am,4 Buffalo eating,"S114, 7km E of H3 Near Malelane",5/5,Neels,"Jan 5, 2024 · 10:07 AM UTC",1m
5,5:52am,8 Buffalo stationary,"H3, 950m N of S118 Near Malelane",5/5,becomingmi,"Jan 5, 2024 · 9:30 AM UTC",37m
6,10:00am,1 Lion on the move,"H4-2, 5km S of H10, was on road but moved off W direction and lost visual Near Lower Sabie",5/5,Jean - Discover Kruger Safaris,"Jan 5, 2024 · 8:44 AM UTC",1h
9,10:14am,1 Spotted Hyena on the move,"S114, 3.4km E of H3 Near Malelane",5/5,xbd Ilxh,"Jan 5, 2024 · 8:23 AM UTC",1h
15,7:50am,Juvenile Bateleur flying,"S119, 3.3km W of Gardenia hide towards S114 Near Malelane",4/5,Tinged by Neels,"Jan 5, 2024 · 6:54 AM UTC",3h
18,7:15am,1 Tawny Eagle flying,"H3, 2.7km N of S114 Near Malelane",5/5,Poppie and family,"Jan 5, 2024 · 6:36 AM UTC",3h
22,8:00am,1 Lion sleeping,"S119, 3.3km W of Gardenia towards S114, on high rock on opposite side of riverbed Near Malelane",3/5,Tinged by Neels,"Jan 5, 2024 · 6:14 AM UTC",3h
23,6:35am,1 Leopard in a tree,"S25, 3.8km W of S27, on N side of road Near Crocodile Bridge",4/5,Christelle - Capture Nature Kruger Safaris,"Jan 5, 2024 · 6:13 AM UTC",3h
25,7:35am,2 Spotted Hyenas crossed road,"H3, 4.7km N of S114 Near Malelane",5/5,Poppie and family,"Jan 5, 2024 · 6:13 AM UTC",3h
26,7:19am,"A second Leopard in a tree, stationary","S25, about 5km W of S27 Near Crocodile Bridge",2/5,Sparkycourts,"Jan 5, 2024 · 5:42 AM UTC",4h
27,7:04am,1 Bateleur stationary,"S25, 5.4km E of S26 Near Crocodile Bridge",3/5,Sparkycourts,"Jan 5, 2024 · 5:41 AM UTC",4h
28,6:51am,1 Leopard in a tree,"S25, about 3km W of S27 Near Crocodile Bridge",4/5,Sparkycourts,"Jan 5, 2024 · 5:41 AM UTC",4h
30,6:30am,1 Leopard in a tree,"S25, 3.8km W of S27 on N side Near Crocodile Bridge",3/5,Jean - Discover Kruger Safaris,"Jan 5, 2024 · 5:40 AM UTC",4h
33,6:32am,Another Leopard in a tree,"S25, about 5-6km W of S27 Near Crocodile Bridge",5/5,Kirsty,"Jan 5, 2024 · 4:44 AM UTC",5h
34,6:22am,1 Black backed Jackal eating,"S1, 1km W of Nyamundwa dam Near Phabeni",5/5,Ulandivandyk,"Jan 5, 2024 · 4:43 AM UTC",5h
35,6:18am,20 Buffalo eating,"S1, 1.8km W of Nyamundwa dam Near Phabeni",3/5,Ulandivandyk,"Jan 5, 2024 · 4:43 AM UTC",5h
36,6:13am,1 Spotted Hyena ,"S110 tar, 800m W of H3 Near Malelane",5/5,markholness,"Jan 5, 2024 · 4:43 AM UTC",5h
37,6:04am,3 Spotted Hyena stationary,"S1, 1.3km E of S3 Near Phabeni",5/5,Ulandivandyk,"Jan 5, 2024 · 4:43 AM UTC",5h
42,6:14am,1 Leopard in a tree,"S25, about 2km W of S27 Near Crocodile Bridge",5/5,Kirsty,"Jan 5, 2024 · 4:28 AM UTC",5h
43,5:45am,1 Spotted Hyena on the move,"H4-1, between the two detours. Near Lower Sabie",5/5,Pauline,"Jan 5, 2024 · 4:28 AM UTC",5h
44,5:20am,1 Spotted Hyena crossed road,"H3, 2.3km N of S120 towards S118 Near Malelane",3/5,Neels,"Jan 5, 2024 · 4:01 AM UTC",6h
46,5:08am,Beautiful Sunrise over Malelane,"H3, passed Matjulu bridge towards S120 Near Malelane",5/5,Neels,"Jan 5, 2024 · 4:01 AM UTC",6h
48,3:16pm,Photo of Leopard stationary,"H10, 1.7km S of H1-2 Near Tshokwane",1/5,Christelle - Capture Nature Kruger Safaris,"Jan 4, 2024 · 3:54 PM UTC",18h
50,5:02pm,1 Lion ,"H1-2, just S of Sand river bridge Near Skukuza",1/5,DaniellaS,"Jan 4, 2024 · 3:39 PM UTC",18h
52,3:16pm,1 Leopard stationary,"H10, 1.7km S of H1-2, lying in a bush Near Tshokwane",1/5,Christelle - Capture Nature Kruger Safaris,"Jan 4, 2024 · 3:01 PM UTC",19h
54,3:32pm,1 Elephant stationary,"H3, 4.6km S of S112 Near Skukuza",5/5,RobynLouw,"Jan 4, 2024 · 2:43 PM UTC",19h
56,4:26pm,3 Spotted Hyena stationary,"H1-1, 1.2km N of S114 Near Skukuza",3/5,RobynLouw,"Jan 4, 2024 · 2:43 PM UTC",19h
57,2:30pm,1 Elephant ,"H3, 4.8km S of S112 Near Skukuza",5/5,KS118,"Jan 4, 2024 · 2:25 PM UTC",19h
59,4:00pm,Elephant and Spotted Hyena ,"H3, near Afsaal trading post parking area Near Malelane",5/5,Asma Sheik,"Jan 4, 2024 · 2:21 PM UTC",19h
62,3:47pm,1 Lion stationary,"H3, 3.4km N of Afsaal, 10m off the road Near Jock Safari Lodge",3/5,Tinged by Markupretorius,"Jan 4, 2024 · 2:00 PM UTC",20h
65,3:34pm,Injured Lion still stationary,"H3, 3.2km N of Afsaal Near Jock Safari Lodge",3/5,Captain Suli,"Jan 4, 2024 · 1:41 PM UTC",20h
66,9:18am,1 Leopard marking territory,"S33, 1km E of S36 Near Tshokwane",5/5,the classic Murphys.,"Jan 4, 2024 · 12:37 PM UTC",21h
67,8:27am,1 Bateleur stationary,"H1-1, after Mathekeyane Granokop going N Near Skukuza",5/5,Tinged by@HPunwassi,"Jan 4, 2024 · 12:13 PM UTC",21h
68,1:07pm,3 Wild Dogs laying down next to gravel road,"S114, 11km S of H1-1 Near Skukuza",4/5,DLT,"Jan 4, 2024 · 11:50 AM UTC",22h
69,8:55am,3 Giraffes on the move,"H4-2, 2.5km N of H5 Near Lower Sabie",3/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
70,9:13am,7 Giraffes on the move,"H4-2, 3.4km S of S28 N junction Near Lower Sabie",3/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
71,9:44am,3 Buffalos stationary,"H4-2, 1.1km N of S28 N junction on the bank of the river Near Lower Sabie",3/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
72,9:46am,2 Elephants crossed road,"H4-2, 1.2km N of S28 N junction Near Lower Sabie",5/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
73,9:51am,Pod of 8 Hippopotami stationary,"H4-2, in the river 2km N of S28 N junction Near Lower Sabie",2/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
74,11:01am,7 Chacma Baboons crossed road,"H10, 1km N of H4-2 Near Lower Sabie",5/5,KS118,"Jan 4, 2024 · 11:49 AM UTC",22h
75,8:01am,1 Spotted Hyena on the move,"H1-1, 850m W of S66 Near Skukuza",5/5,LindaH7,"Jan 4, 2024 · 11:49 AM UTC",22h
77,1:24pm,1 Elephant ,"S1, 2.3km E of S4 Near Skukuza",5/5,Jarjarbinx,"Jan 4, 2024 · 11:30 AM UTC",22h
78,1:09pm,1 Wild Dog stationary,"S3, just N of S1 Near Phabeni gate",5/5,tyma,"Jan 4, 2024 · 11:29 AM UTC",22h
86,12:04pm,Herd of Buffalo ,"S137, between S130 and S28 Near Lower Sabie",5/5,Kirsty,"Jan 4, 2024 · 10:59 AM UTC",23h
88,5:15am,Pride of Lion stationary,"S1, 1km E of S65 Near Skukuza",5/5,Lizette,"Jan 4, 2024 · 10:47 AM UTC",23h
