Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
10:20am,1 Leopard in a tree,"""was full visible but then moved a bit and is no longer completely visible"" H3, 3km N of Malelane gate",1/5,Moshe sos,"Dec 15, 2023 · 8:29 AM UTC",30m
10:16am,2 Elephants eating,"""Amazing sighting"" S7, 500m N of S10 N junction, 10m from road Near Pretoriuskop",5/5,LvVuuren,"Dec 15, 2023 · 8:29 AM UTC",30m
10:00am,Pride of Lion on the move,"H3, 1.5km S of the S110 sand road Near Malelane",4/5,Sunflower,"Dec 15, 2023 · 8:28 AM UTC",31m
9:57am,4 Elephant drinking and Hippopotamus,"S3, road at Mestel dam Near Numbi",5/5,LvVuuren,"Dec 15, 2023 · 8:18 AM UTC",41m
9:46am,4 Elephant drinking,"""Calves play fighting and mother swimming"" S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC",41m
9:32am,4 Elephant drinking,"S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC",41m
9:29am,Dazzle of Burchell's Zebra ,"H3, 2.2km N of Renosterpan Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 8:12 AM UTC",47m
8:50am,Vurhani pride of Lion on the move,"H4-2, 400m N of S25 on W side Near Crocodile Bridge",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 8:12 AM UTC",47m
8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC",1h
8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC",1h
8:52am,Herd of Elephant eating,"H3, 100m south of Mlambane river on both sides Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC",1h
8:57am,Herd of Buffalo stationary,"""Small herd of Dagha Boys"" H3, 700m N of Mlambane river. Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC",1h
8:36am,5 Lion sleeping,"S22, 900m W of S114 Near Skukuza",2/5,MorneSoekoe,"Dec 15, 2023 · 7:03 AM UTC",1h
8:49am,3 Spotted Hyena stationary,"H1-1, 800m N of S114 Near Skukuza",5/5,albert vds,"Dec 15, 2023 · 7:03 AM UTC",1h
8:00am,1 Leopard hunting,"H3, near Kwaggaspan on H3. Was in tree, jumped off. Near Skukuza",4/5,Dorette,"Dec 15, 2023 · 6:48 AM UTC",2h
8:05am,1 Leopard in a tree,"S25, 8km E of S26. Distant vis on S side. She got out and moved off E. Lost visual Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 6:29 AM UTC",2h
8:05am,1 Leopard in a tree,"S25, 8km E of S26. Distant vis on S side. She got out and moved off E. Lost visual Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 6:29 AM UTC",2h
7:58am,2 Lion stationary,"S110 sand, 400m E of S120 Near Berg En Dal",4/5,JessicaJane,"Dec 15, 2023 · 6:25 AM UTC",2h
7:53am,Pride of Lion stationary,"H4-2, 10m from S25 Near Crocodile Bridge",5/5,Mercia,"Dec 15, 2023 · 6:09 AM UTC",2h
7:31am,Pack of Wild Dog stationary,"S25, 200m from S26 Near Biyamiti Bush Camp",5/5,Marja,"Dec 15, 2023 · 5:38 AM UTC",3h
7:26am,Pack of Wild Dog stationary,"S25, in the road 2km W of S26. Near Biyamiti Bush Camp",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 5:32 AM UTC",3h
7:26am,Pack of Wild Dog stationary,"S25, in the road 2km W of S26. Near Biyamiti Bush Camp",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 5:32 AM UTC",3h
7:02am,1 Elephant stationary,"""Elephant bull in riverbed."" S1, 11km E of S3 towards Skukuza",5/5,Cdab,"Dec 15, 2023 · 5:13 AM UTC",3h
5:15am,2 Cheetah on the move,"S28, at No Entry, went mobile in the Shishangeni concession, lost visual Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 15, 2023 · 5:08 AM UTC",3h
6:50am,1 Lion on the move,"H4-2, S25 junction, moving West Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 15, 2023 · 5:08 AM UTC",3h
6:25am,Pack of Wild Dog on the move,"""Lost visibility now"" S25, 500m from S26 junction Near Crocodile Bridge",5/5,Sunflower,"Dec 15, 2023 · 4:48 AM UTC",4h
5:30am,Pride of Lion feeding,"""2 male lions eating on kudu. 5 others lying around. Right next to road"" S41, 10.5km N of S100 Near Satara",5/5,Michelle,"Dec 15, 2023 · 4:24 AM UTC",4h
5:50am,1 Black backed Jaackal stationary,"S25, 200m W of H4-2 Near Crocodile Bridge",5/5,Sunflower,"Dec 15, 2023 · 4:02 AM UTC",4h
5:15pm,1 Buffalo crossed road,"S1, W of S4 Near Skukuza",5/5,sarajanemalone,"Dec 14, 2023 · 3:22 PM UTC",17h
3:50pm,1 Leopard on the move,"""Watched him walk in plain sight for 100m then saw him climb a tree and settle down to sleep."" H3, below S112 Near Skukuza",5/5,sarajanemalone,"Dec 14, 2023 · 3:22 PM UTC",17h
1:36pm,1 Lion ,"S41, 6.5km N of S100 Near Satara",5/5,Lutri,"Dec 14, 2023 · 3:07 PM UTC",17h
5:00pm,Pack of Wild Dog sleeping,"S110 tar, 200m W of H3 Near Malelane",5/5,Serene,"Dec 14, 2023 · 3:02 PM UTC",17h
2:15pm,2 Bateleur feeding,"""With a juvenile eating a Lizard, Vulture is looking on"" H4-1, between Lower Sabie and Skukuza",5/5,Ross-Allen,"Dec 14, 2023 · 2:00 PM UTC",18h
2:30pm,6 Lion hunting,"H4-1, outside Nkuhlu Near Lower Sabie",5/5,gowild photography,"Dec 14, 2023 · 1:50 PM UTC",19h
12:41pm,2 Lion sleeping,"""Afternoon nap for the lions"" H5, 2.3km W of H4-2 Near Crocodile Bridge",5/5,Amz17,"Dec 14, 2023 · 1:25 PM UTC",19h
11:46am,1 Eland on the move and Zebra,"""He was acting like a zebra"" H6, between H1-3 and S37 Near Satara",5/5,Genya,"Dec 14, 2023 · 12:36 PM UTC",20h
5:02am,3 Lion stationary,"""What a great mom, chasing the hyenas away from her cubs"" S41, 3km N of Gudzani dam Near Satara",5/5,Genya,"Dec 14, 2023 · 12:36 PM UTC",20h
1:20pm,3 Lion stationary,"S41, 3km N of Gudzani dam Near Satara",5/5,Lutri,"Dec 14, 2023 · 12:35 PM UTC",20h
2:22pm,1 Leopard stationary,"S25, 7.9km W of H4-2 Near Crocodile Bridge",5/5,Scott22,"Dec 14, 2023 · 12:35 PM UTC",20h
1:45pm,2 Lion stationary,"""Male and female next to road"" H5, about 3km W of H4-2 Near Crocodile Bridge",5/5,Drian Laas,"Dec 14, 2023 · 12:13 PM UTC",20h
1:54pm,3 Elephant stationary,"H9, 1km E of S51 E junction Near Phalaborwa",2/5,CelesteRaath,"Dec 14, 2023 · 12:05 PM UTC",20h
11:37am,1 Elephant eating,"S28, 4.7km N of S137, in marshy area E side of road Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC",21h
10:45am,15 Elephant crossed road,"S28, 600m S of S107 Near Crocodile Bridge",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC",21h
12:36pm,6 Elephant stationary,"H4-2, 2.8km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:52 AM UTC",22h
12:27pm,1 Elephant ,"H4-2, 5.3km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:43 AM UTC",22h
9:53am,Pride of Lion on a kill,"""Casper the White Lion feeding"" H1-3, 3km S of H6 Near Satara",5/5,Tinged by@Keseve2,"Dec 14, 2023 · 10:14 AM UTC",22h
9:05am,1 Lion ,"H4-1, at Lubyelubye bridge Near Lower Sabie",4/5,Yusuf,"Dec 14, 2023 · 9:16 AM UTC",23h
10:20am,3 Cheetah stationary,"S28, 10.7km N of S28 S junction, about 100m in on  grassy mound Near Crocodile Bridge",3/5,Unknown,"Dec 14, 2023 · 8:29 AM UTC",Dec 14
